"","participant_ID","ELR1...Q4.Time_Page.Submit","ELR1...Q3.Time_Page.Submit","ELR1...Q5.Time_Page.Submit","ELR1...Q6.Time_Page.Submit","ELR2...Q5.Time_Page.Submit","ELR2...Q4.Time_Page.Submit","ELR2...Q6.Time_Page.Submit","ELR2...Q3.Time_Page.Submit","ERL1...Q3.Time_Page.Submit","ERL1...Q5.Time_Page.Submit","ERL1...Q4.Time_Page.Submit","ERL1...Q6.Time_Page.Submit","ERL2...Q3.Time_Page.Submit","ERL2...Q4.Time_Page.Submit","ERL2...Q6.Time_Page.Submit","ERL2...Q5.Time_Page.Submit","ETB1...Q4.Time_Page.Submit","ETB1...Q3.Time_Page.Submit","ETB1...Q5.Time_Page.Submit","ETB1...Q6.Time_Page.Submit","ETB2...Q4.Time_Page.Submit","ETB2...Q6.Time_Page.Submit","ETB2...Q5.Time_Page.Submit","ETB2...Q3.Time_Page.Submit","ALR1..Q3.Time_Page.Submit","ALR1...Q4.Time_Page.Submit","ALR1...Q5.Time_Page.Submit","ALR1...Q6.Time_Page.Submit","ALR2...Q3.Time_Page.Submit","ALR2...Q4.Time_Page.Submit","ALR2...Q5.Time_Page.Submit","ALR2...Q6.Time_Page.Submit","ARL1...Q3.Time_Page.Submit","ARL1...Q4.Time_Page.Submit","ARL1..Q5.Time_Page.Submit","ARL1...Q6.Time_Page.Submit","ARL2...Q3.Time_Page.Submit","ARL2...Q4.Time_Page.Submit","ARL2...Q5.Time_Page.Submit","ARL2...Q6.Time_Page.Submit","ATB1...Q3.Time_Page.Submit","ATB1...Q4.Time_Page.Submit","ATB1...Q5.Time_Page.Submit","ATB1...Q6.Time_Page.Submit","ATB2...Q3.Time_Page.Submit","ATB2...Q4.Time_Page.Submit","ATB2...Q5.Time_Page.Submit","ATB2...Q6.Time_Page.Submit","ULR1...Q3.Time_Page.Submit","ULR1...Q4.Time_Page.Submit","ULR1...Q5.Time_Page.Submit","ULR1...Q6.Time_Page.Submit","ULR2...Q3.Time_Page.Submit","ULR2...Q4.Time_Page.Submit","ULR2..Q5.Time_Page.Submit","ULR2...Q6.Time_Page.Submit","URL1...Q3.Time_Page.Submit","URL1...Q4.Time_Page.Submit","URL1...Q5.Time_Page.Submit","URL1...Q6.Time_Page.Submit","URL2...Q3.Time_Page.Submit","URL2...Q4.Time_Page.Submit","URL2...Q5.Time_Page.Submit","URL2...Q6.Time_Page.Submit","UTB1...Q3.Time_Page.Submit","UTB1...Q4.Time_Page.Submit","UTB1...Q5.Time_Page.Submit","UTB1...Q6.Time_Page.Submit","UTB2...Q3.Time_Page.Submit","UTB2...Q4.Time_Page.Submit","UTB2...Q5.Time_Page.Submit","UTB2...Q6.Time_Page.Submit","ELR3...Q3.Time_Page.Submit","ELR3...Q4.Time_Page.Submit","ELR3...Q5.Time_Page.Submit","ELR3...Q6.Time_Page.Submit","ELR4...Q3.Time_Page.Submit","ELR4...Q4.Time_Page.Submit","ELR4...Q5.Time_Page.Submit","ELR4...Q6.Time_Page.Submit","ERL3...Q3.Time_Page.Submit","ERL3...Q4.Time_Page.Submit","ERL3...Q5.Time_Page.Submit","ERL3...Q6.Time_Page.Submit","ERL4...Q3.Time_Page.Submit","ERL4...Q4.Time_Page.Submit","ERL4...Q5.Time_Page.Submit","ERL4...Q6.Time_Page.Submit","ETB3...Q3.Time_Page.Submit","ETB3...Q4.Time_Page.Submit","ETB3...Q5.Time_Page.Submit","ETB.3...Q6.Time_Page.Submit","ETB4...Q3.Time_Page.Submit","ETB4...Q4.Time_Page.Submit","ETB4...Q5.Time_Page.Submit","ETB4...Q6.Time_Page.Submit","SC0","Median","Mean"
"1",2,29.343,34.595,38.651,NA,17.068,7.529,NA,13.275,NA,28.594,17.016,NA,15.515,15.525,NA,23.836,22.898,NA,24.227,NA,12.192,NA,51.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.997,12.626,2.508,NA,6.887,3.35,3.4,NA,13.874,4.66,5.112,NA,7.692,1.648,1.468,NA,27.278,5.585,4.488,NA,5.652,5.053,2.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,11.598,16.0108103448276
"2",8,37.977,31.463,3.627,16.167,9.975,37.283,36.426,46.173,2.563,1.353,1.493,1.541,1.279,1.425,2.364,1.14,5.159,18.996,3.355,3.256,2.823,3.09,3.511,3.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.956,17.826,2.043,7.696,1.915,16.419,1.875,14.424,3.021,14.282,2.044,28.089,2.247,13.464,1.672,30.387,2.436,2.597,2.65,2.509,2.555,2.268,2.78,2.394,36,3.115,8.90469863013699
"3",9,0.875,0.846,1.018,0.816,1.05,1.221,0.806,0.843,3.615,1.207,1.04,1.283,1.428,1.064,1.036,1.078,16.204,5.427,9.536,3.582,2.12,3.837,2.263,2.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.882,1.58,0.739,1.074,0.807,0.995,1.967,1.8,1.151,0.911,0.889,0.895,0.935,1.1,5.93,1.715,2.309,1.921,1.934,1.578,2.491,2.447,1.823,28,1.207,35.7503424657534
"4",11,52.117,44.837,3.578,21.916,2.017,32.32,35.855,161.347,44.745,1.928,16.867,27.967,15.676,20.485,47.574,3.197,9.227,10.836,30.975,5.786,8.869,25.984,21.477,90.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.222,1.464,1.102,1.522,1.058,0.908,1.255,0.835,5.687,2.14,1.641,1.26,1.39,1.156,1.168,1.171,2.37,3.144,2.54,2.102,2.231,1.961,2.079,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4.3395,13.5781944444444
"5",12,2.297,6.203,2.991,7.376,1.787,3.282,2.207,2.96,1.703,1.855,1.205,3.543,1.584,5.389,9.063,8.721,4.888,2.852,2.847,2.651,3.805,4.248,2.989,2.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.719,2.09,1.333,1.634,4.55,2.775,1.605,1.974,1.877,1.692,1.714,1.467,1.619,1.516,2.019,1.503,4.225,5.32,9.347,3.638,13.317,12.62,5.948,3.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2.9745,4.50277777777778
"6",13,0.969,0.817,1.034,0.892,0.812,0.823,0.926,0.737,1.108,1.897,0.8,0.861,0.802,1.035,0.943,0.824,2.341,1.951,2.457,1.919,1.704,2.045,1.828,1.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.792,0.824,0.873,11.521,0.789,0.778,0.724,0.913,0.947,0.818,0.779,0.937,0.988,1.015,1.001,8.41,1.651,1.756,1.653,2.1,1.624,1.443,1.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1.008,1.97477777777778
"7",14,1.128,0.953,1.054,0.875,0.758,1.442,0.992,0.757,0.851,1.358,1.3,0.69,0.923,1.006,0.733,1.5,3.484,2.528,2.469,1.766,1.535,1.798,2.12,1.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961,1.009,1.324,1.05,0.92,0.954,1.024,1.693,0.841,0.96,0.702,1.15,0.777,1.599,1.109,0.974,1.902,4.056,2.21,2.021,1.966,1.554,2.307,1.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1.171,1.75345833333333
"8",15,1.019,1.324,0.836,0.707,0.812,0.91,0.739,0.625,1.044,0.685,0.757,0.906,0.841,0.941,0.738,1.038,1.96,6.597,3.098,1.787,3.329,1.917,2.36,4.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735,1.533,1.041,0.597,2.865,1.268,0.937,0.666,1.324,0.797,0.606,3.268,1.163,1.576,1.942,0.596,1.618,2.028,1.661,1.857,4.871,1.464,1.821,1.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1.1035,2.20273611111111
"9",17,8.495,10.937,15.495,13.056,3.654,5.526,5.502,8.952,20.503,5.806,6.151,3.101,5.864,2.171,2.017,2.338,142.299,192.191,113.659,19.47,27.656,9.464,5.3,24.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.368,2.246,2.269,2.381,2.089,2.037,1.59,1.894,9.018,5.779,5.066,22.824,3.1,1.954,1.95,2.384,11.1,5.232,5.198,4.586,4.263,4.401,4.619,4.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5.514,20.266375
"10",18,1.907,4.25,1.685,1.503,1.399,2.032,1.713,2.306,2.386,3.37,2.274,2.677,8.617,1.604,2.341,2.069,4.079,2.241,3.658,5.277,3.961,4.501,11.1,2.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.719,1.575,1.393,1.6,1.392,1.787,1.669,4.428,1.302,1.795,1.517,2.775,1.101,1.28,35.478,0.958,2.287,1.982,2.759,2.715,3.038,3.971,2.817,2.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.2965,11.2262777777778
