"","count","rate","pool_size","neg_1","neg_2","neg_5","neg_10"
"ELR1...Q2",10,0.476190476190476,21,5,0,4,2
"ELR1...Q4",18,0.857142857142857,21,3,0,0,0
"ELR1...Q1",12,0.571428571428571,21,3,0,2,4
"ELR1...Q3",13,0.619047619047619,21,2,0,3,3
"ELR1...Q5",10,0.476190476190476,21,0,0,3,8
"ELR1...Q6",10,0.476190476190476,21,4,1,6,0
"ELR2...Q1",12,0.571428571428571,21,5,0,3,1
"ELR2...Q5",9,0.428571428571429,21,7,5,0,0
"ELR2...Q2",13,0.619047619047619,21,2,2,0,4
"ELR2...Q4",13,0.619047619047619,21,8,0,0,0
"ELR2...Q6",11,0.523809523809524,21,2,4,0,4
"ELR2...Q3",14,0.666666666666667,21,2,4,1,0
"ERL1...Q3",10,0.476190476190476,21,4,7,0,0
"ERL1...Q2",12,0.571428571428571,21,3,0,3,3
"ERL1...Q5",14,0.666666666666667,21,3,4,0,0
"ERL1...Q1",14,0.666666666666667,21,0,0,4,3
"ERL1...Q4",13,0.619047619047619,21,8,0,0,0
"ERL1...Q6",10,0.476190476190476,21,3,0,6,2
"ERL2...Q2",12,0.571428571428571,21,5,0,3,1
"ERL2...Q3",10,0.476190476190476,21,0,4,3,4
"ERL2...Q4",16,0.761904761904762,21,5,0,0,0
"ERL2...Q6",7,0.333333333333333,21,5,8,1,0
"ERL2...Q5",9,0.428571428571429,21,0,0,7,5
"ERL2...Q1",11,0.523809523809524,21,4,4,2,0
"ETB1...Q4",16,0.761904761904762,21,4,0,0,0
"ETB1...Q3",8,0.380952380952381,21,1,0,11,0
"ETB1...Q1",13,0.619047619047619,21,2,0,0,6
"ETB1...Q5",11,0.523809523809524,21,5,4,0,0
"ETB1...Q6",17,0.80952380952381,21,0,1,2,1
"ETB1...Q2",10,0.476190476190476,21,5,1,0,5
"ETB2...Q1",15,0.714285714285714,21,5,0,0,1
"ETB2...Q4",14,0.666666666666667,21,7,0,0,0
"ETB2...Q6",11,0.523809523809524,21,3,5,0,2
"ETB2...Q5",7,0.333333333333333,21,4,10,0,0
"ETB2...Q2",12,0.571428571428571,21,6,0,3,0
"ETB2...Q3",9,0.428571428571429,21,3,0,2,7
"ULR1...Q1",7,0.333333333333333,21,7,0,1,6
"ULR1...Q2",8,0.380952380952381,21,4,0,7,2
"ULR1...Q3",7,0.333333333333333,21,5,0,6,3
"ULR1...Q4",14,0.666666666666667,21,7,0,0,0
"ULR1...Q5",7,0.333333333333333,21,6,8,0,0
"ULR1...Q6",6,0.285714285714286,21,5,4,6,0
"ULR2...Q1",8,0.380952380952381,21,5,0,4,4
"ULR2...Q2",7,0.333333333333333,21,3,4,0,7
"ULR2...Q3",9,0.428571428571429,21,5,0,4,3
"ULR2...Q4",10,0.476190476190476,21,11,0,0,0
"ULR2...Q5",9,0.428571428571429,21,2,0,10,0
"ULR2...Q6",10,0.476190476190476,21,3,4,4,0
"URL1...Q1",7,0.333333333333333,21,5,7,0,2
"URL1...Q2",7,0.333333333333333,21,1,5,0,8
"URL1...Q3",6,0.285714285714286,21,6,6,0,3
"URL1...Q4",11,0.523809523809524,21,10,0,0,0
"URL1...Q5",4,0.19047619047619,21,0,0,8,9
"URL1...Q6",6,0.285714285714286,21,5,6,4,0
"URL2...Q1",6,0.285714285714286,21,4,0,5,6
"URL2...Q2",11,0.523809523809524,21,3,0,4,3
"URL2...Q3",4,0.19047619047619,21,5,0,7,5
"URL2...Q4",8,0.380952380952381,21,13,0,0,0
"URL2...Q5",10,0.476190476190476,21,5,6,0,0
"URL2...Q6",6,0.285714285714286,21,0,3,6,6
"UTB1...Q1",2,0.0952380952380952,21,10,0,5,4
"UTB1...Q2",5,0.238095238095238,21,5,0,0,11
"UTB1...Q3",5,0.238095238095238,21,7,4,0,5
"UTB1...Q4",11,0.523809523809524,21,10,0,0,0
"UTB1...Q5",10,0.476190476190476,21,5,6,0,0
"UTB1...Q6",7,0.333333333333333,21,9,1,4,0
"UTB2...Q1",7,0.333333333333333,21,0,3,0,11
"UTB2...Q2",11,0.523809523809524,21,5,0,2,3
"UTB2...Q3",2,0.0952380952380952,21,5,10,0,4
"UTB2...Q4",12,0.571428571428571,21,9,0,0,0
"UTB2...Q5",8,0.380952380952381,21,2,0,11,0
"UTB2...Q6",9,0.428571428571429,21,6,0,5,1
