event,date
Job fair,2024-06-20 14:21:35
Entrepreneurial skills workshop,2024-07-05 10:14:56
Small business launch,2024-08-10 17:48:12
Tech summit,2024-07-25 13:35:47
Career fair,2024-06-15 09:58:04
Foreign investment,2024-08-05 11:22:39
Safety workshop,2024-07-12 16:07:23
Foreign economic grant,2024-06-30 12:19:05
Startup competition,2024-08-15 14:30:18
Industrial training workshop,2024-07-20 08:25:42
Foreign Trade delegation visit,2024-06-25 10:45:17
Economic forum,2024-08-01 09:32:51
Finance workshop,2024-07-10 15:58:29
