event,date
Stock market dips,2025-01-15 10:45:27
Unemployment report released,2023-03-10 14:12:34
Interest rates adjusted,2024-09-05 09:38:19
Company launch,2026-07-20 16:52:45
Highest gas prices,2023-06-08 08:23:11
Lowest air travel costs,2024-11-12 11:47:58
Inflation decreases,2025-04-30 12:06:54
High gold rates,2023-12-25 17:19:33
Economic policy review,2026-02-18 13:41:02
Federal budget released,2024-10-03 10:15:27
Debt report,2025-05-22 15:29:41
Trade sanction implemented,2023-08-07 09:58:46
