event,date
Stock market dips,2025-01-15 14:30:00
Unemployment report released,2025-01-16 09:15:00
Interest rates adjusted,2025-01-17 11:45:00
Company launch,2025-01-18 16:00:00
Highest gas prices,2025-01-19 10:00:00
Lowest air travel costs,2025-01-20 13:30:00
Inflation decreases,2025-01-21 08:00:00
High gold rates,2025-01-22 12:00:00
Economic policy review,2025-01-23 17:15:00
Federal budget released,2025-01-24 14:00:00
Debt report,2025-01-25 10:30:00
Trade sanction implemented,2025-01-26 15:45:00
